Retriever,Method,TREC DL Benchmark,,,,,,,,,BEIR Benchmark,,,,,,,,,,,,,
,,DL 2019,,,DL 2020,,,DL-HARD,,,SciFact,,Arguana,,COVID,,FiQA,,DBPed,,NEWS,, Avg. Score,
,,map@1000,ndcg@10,recall@1000,map@1000,ndcg@10,recall@1000,map@1000,ndcg@10,recall@1000,ndcg@10,recall@100,ndcg@10,recall@100,ndcg@10,recall@100,ndcg@10,recall@100,ndcg@10,recall@100,ndcg@10,recall@100,ndcg@10,recall@100
BM25,Original Query,,0.506,,,0.480,,,0.285,,0.679,,0.397,,0.595,,0.236,,0.318,,0.395,,0.437,
,      + RM3,,,,,,,,,,,,,,,,,,,,,,,
,      + GenQR,0.2731,0.4389,0.736,0.2681,0.4302,0.7701,0.1217,0.1743,0.6575,0.7011,0.9566,0.4013,0.9488,0.6662,0.1561,0.1974,0.5142,0.2591,0.4137,0.4251,0.5834,0.4104,0.6374
,      + GenQREnsemble,0.2869,0.4579,0.8217,0.3079,0.4718,0.8158,0.1431,0.2154,0.699,0.7034,0.9626,0.3945,0.9474,0.6884,0.169,0.1972,0.5205,0.3181,0.4501,0.4349,0.6199,0.4313,0.6673
,      + QA-Expand ,0.3714,0.5819,0.8385,0.3936,0.6026,0.8649,0.2191,0.3469,0.748,0.7059,0.943,0.4021,0.9367,0.6885,0.1583,0.2509,0.5744,0.368,0.4808,0.4326,0.5487,0.4866,0.6770
,      + Q2K,0.3789,0.5891,0.8474,0.3385,0.5475,0.8392,0.1861,0.3101,0.7665,0.7016,0.948,0.406,0.9417,0.7373,0.1765,0.2524,0.5779,0.3597,0.4696,0.4557,0.5827,0.4844,0.6833
,      + Q2D (ZS),0.4583,0.6779,0.8862,0.4124,0.6268,0.8869,0.2268,0.3368,0.7832,0.717,0.9403,0.398,0.9374,0.6967,0.1656,0.2548,0.5899,0.3968,0.498,0.4685,0.5564,0.5081,0.6938
,      + Q2D (FS),0.4481,0.6643,0.8527,0.4127,0.6227,0.8848,0.2196,0.3358,0.7627,0.7053,0.941,0.3965,0.9324,0.6827,0.1634,0.2531,0.5833,0.372,0.4873,0.4442,0.5398,0.4974,0.6830
,      + Q2D (CoT),0.4318,0.6254,0.8621,0.4068,0.6092,0.8846,0.2291,0.332,0.7655,0.7273,0.956,0.4011,0.936,0.7503,0.1744,0.2557,0.5758,0.3921,0.5132,0.4601,0.5728,0.5059,0.6934
