Retriever,Method,TREC DL Benchmark,,,,,,,,,BEIR Benchmark,,,,,,,,,,,,,
,,DL 2019,,,DL 2020,,,DL-HARD,,,SciFact,,Arguana,,COVID,,FiQA,,DBPed,,NEWS,, Avg. Score,
,,map@1000,ndcg@10,recall@1000,map@1000,ndcg@10,recall@1000,map@1000,ndcg@10,recall@1000,ndcg@10,recall@100,ndcg@10,recall@100,ndcg@10,recall@100,ndcg@10,recall@100,ndcg@10,recall@100,ndcg@10,recall@100,ndcg@10,recall@100
BM25,Original Query,0.3013,0.5058,0.7501,0.2856,0.4796,0.7863,0.1595,0.285,0.6806,0.6789,0.9253,0.2999,0.9324,0.5947,0.1091,0.2361,0.5395,0.318,0.4682,0.3952,0.4469,0.4215,0.6265
,      + RM3,0.3416,0.5216,0.8136,0.3006,0.4896,0.8236,0.1527,0.2509,0.7155,0.6457,0.9147,0.2865,0.9552,0.5927,0.1168,0.1916,0.4967,0.308,0.4594,0.4262,0.5189,0.4125,0.6460
,      + GenQR,0.3632,0.5479,0.8282,0.3642,0.5368,0.8402,0.2085,0.2921,0.7434,0.7262,0.9632,0.406,0.9495,0.6869,0.1627,0.2302,0.5818,0.3442,0.4635,0.4647,0.6096,0.4706,0.6825
,      + GenQREnsemble,0.3675,0.5589,0.8685,0.3611,0.5528,0.8613,0.1743,0.2697,0.7775,0.7251,0.9666,0.4073,0.9566,0.7528,0.1839,0.2388,0.5804,0.36,0.4765,0.486,0.6293,0.4835,0.7001
,      + QA-Expand ,0.455,0.6832,0.8495,0.4397,0.6418,0.8787,0.1911,0.3018,0.757,0.7063,0.9403,0.397,0.9324,0.7065,0.162,0.2643,0.5814,0.3699,0.489,0.4502,0.5608,0.5023,0.6835
,      + Q2K,0.3957,0.5935,0.8698,0.3612,0.5759,0.8594,0.2219,0.3446,0.7639,0.7089,0.9403,0.4062,0.9381,0.715,0.1772,0.269,0.593,0.3778,0.4772,0.4633,0.5807,0.4949,0.6888
,      + Q2D (ZS),0.4575,0.6873,0.8924,0.4572,0.6625,0.8942,0.233,0.3502,0.7811,0.7203,0.9477,0.397,0.9324,0.743,0.1704,0.2599,0.6002,0.4062,0.5051,0.498,0.5858,0.5249,0.7010
,      + Q2D (FS),0.4579,0.6904,0.8861,0.4652,0.6746,0.8984,0.2426,0.3562,0.8042,0.7123,0.9493,0.4012,0.941,0.7081,0.1639,0.2684,0.5993,0.401,0.5083,0.4801,0.5842,0.5214,0.7039
,      + Q2D (CoT),0.4413,0.6528,0.8777,0.4083,0.6239,0.8781,0.2164,0.3291,0.7737,0.7135,0.951,0.4028,0.9374,0.7277,0.1696,0.2578,0.5843,0.3934,0.4775,0.4656,0.5829,0.5074,0.6925
